Lineup,Plus/Minus Per 25 Minutes,Plus/Minus Per Minute,Total Time,Game
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",0.0,0.0,02:59,ST_JOSEPH_S(ME)_WBB
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",-105.25,-4.21,01:54,ST_JOSEPH_S(ME)_WBB
"('LEWIS,JADE', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'BARRON,SHEA')",-187.5,-7.5,00:16,ST_JOSEPH_S(ME)_WBB
"('WASIEWICZ,GABBY', 'GRAHAM,PIPER', 'TURCO,MARY', 'URIBE,TALIA', 'BARRON,SHEA')",-31.25,-1.25,02:24,ST_JOSEPH_S(ME)_WBB
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'GRAHAM,PIPER', 'TURCO,MARY', 'URIBE,TALIA')",-13.25,-0.53,01:53,ST_JOSEPH_S(ME)_WBB
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",-20.0,-0.8,07:30,ST_JOSEPH_S(ME)_WBB
"('LEWIS,JADE', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY')",0.0,0.0,01:44,ST_JOSEPH_S(ME)_WBB
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY')",0.0,0.0,00:56,ST_JOSEPH_S(ME)_WBB
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",118.0,4.72,01:29,ST_JOSEPH_S(ME)_WBB
"('LEWIS,JADE', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",-112.5,-4.5,00:40,ST_JOSEPH_S(ME)_WBB
"('LEWIS,JADE', 'ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",-53.5,-2.14,01:52,ST_JOSEPH_S(ME)_WBB
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",-375.0,-15.0,00:04,ST_JOSEPH_S(ME)_WBB
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'URIBE,TALIA')",-5.75,-0.23,08:39,ST_JOSEPH_S(ME)_WBB
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",-30.75,-1.23,04:03,ST_JOSEPH_S(ME)_WBB
"('LEWIS,JADE', 'TURCO,MARY', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",0.0,0.0,00:39,ST_JOSEPH_S(ME)_WBB
"('LEWIS,JADE', 'BARRON,SHEA', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",11.0,0.44,02:15,ST_JOSEPH_S(ME)_WBB
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'BARRON,SHEA', 'LEBEL,KELLY', 'GORSKI,JENNY')",-79.0,-3.16,01:16,ST_JOSEPH_S(ME)_WBB
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",-47.5,-1.9,01:03,ST_JOSEPH_S(ME)_WBB
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",-3.25,-0.13,07:58,ST_JOSEPH_S(ME)_WBB
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",76.5,3.06,01:38,ST_JOSEPH_S(ME)_WBB
"('GRAHAM,PIPER', 'LEBEL,KELLY', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",-30.5,-1.22,01:38,ST_JOSEPH_S(ME)_WBB
"('ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",-32.25,-1.29,01:33,ST_JOSEPH_S(ME)_WBB
"('ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'MILDNER,STEPHANIE')",115.5,4.62,01:05,ST_JOSEPH_S(ME)_WBB
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'PACHECO,MIA', 'MILDNER,STEPHANIE')",0.0,0.0,01:41,ST_JOSEPH_S(ME)_WBB
"('SMITH,HEAVEN', 'ANDRADE,SOPHIA', 'JOHNSTON,RAHMIA', 'GUERRIER,PHONIA', 'PACHECO,MIA')",62.5,2.5,00:48,ST_JOSEPH_S(ME)_WBB
