Team,No.,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,OREB%,TOV%,EFG%,FTR,Game
Salem St.,01,"Perez,Jarielis",5,1.0,3.0,,0.0,1,,1,2.0,,0,0,0,0,0,0,2,0,3,0.0,34.01,33.33,66.67,Salem State
Salem St.,02,"Nieves,Jaylen",19,0.0,4.0,,0.0,2,,4,4.0,,0,6,6,2,0,0,3,5,4,0.0,34.25,0.0,100.0,Salem State
Salem St.,03,"Gates,Kylie",33,7.0,11.0,,5.0,6,,2,3.0,,0,3,3,6,6,0,1,1,21,0.0,7.51,86.36,27.27,Salem State
Salem St.,05,"McConney,Amayah",15,2.0,5.0,,0.0,1,,0,0.0,,1,3,4,0,0,0,2,0,4,3.33,28.57,40.0,0.0,Salem State
Salem St.,10,"D'Itra,Nicolette",16,2.0,8.0,,0.0,3,,0,0.0,,4,2,6,1,0,0,2,2,4,12.12,20.0,25.0,0.0,Salem State
Salem St.,11,"Goncalves,Ernidia",17,3.0,10.0,,0.0,0,,0,0.0,,1,7,8,0,0,2,5,3,6,3.33,33.33,30.0,0.0,Salem State
Salem St.,13,"Morales,Janeishelly",1,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,1,0,0,0.0,100.0,,,Salem State
Salem St.,14,"Sarnacki,Maggy",2,0.0,0.0,,0.0,0,,1,2.0,,0,1,1,0,0,0,0,1,1,0.0,0.0,,inf,Salem State
Salem St.,15,"Carter,Sunali",4,0.0,2.0,,0.0,1,,0,0.0,,4,1,5,1,0,0,1,2,0,12.12,33.33,0.0,0.0,Salem State
Salem St.,20,"Schrock,Kylie",3,0.0,3.0,,0.0,1,,0,0.0,,0,1,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,Salem State
Salem St.,21,"Orfanos,Maria",15,0.0,4.0,,0.0,1,,0,0.0,,0,2,2,1,2,0,1,4,0,0.0,20.0,0.0,0.0,Salem State
Salem St.,22,"Ashley,Lamia",17,3.0,4.0,,0.0,0,,0,2.0,,3,1,4,0,0,0,1,1,6,9.38,17.01,75.0,50.0,Salem State
Salem St.,23,"Zaiter,Liz",21,5.0,12.0,,0.0,0,,4,9.0,,5,4,9,0,0,2,2,2,14,14.71,11.14,41.67,75.0,Salem State
Salem St.,25,"Teng,Abuk",25,4.0,10.0,,0.0,0,,0,1.0,,1,7,8,2,2,0,3,4,8,3.33,22.32,40.0,10.0,Salem State
Salem St.,30,"Boccelli,Marisa",1,0.0,0.0,,0.0,0,,0,2.0,,0,0,0,0,0,0,0,1,0,0.0,0.0,,inf,Salem State
Salem St.,32,"Reynolds,Morgan",3,0.0,1.0,,0.0,0,,1,2.0,,1,2,3,0,1,0,1,1,1,3.33,34.72,0.0,200.0,Salem State
Salem St.,33,"Phillips,Haley",3,1.0,1.0,,0.0,0,,0,0.0,,1,0,1,0,0,0,0,0,2,3.33,0.0,100.0,0.0,Salem State
Salem St.,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,1,3,4,,,,0,0,,3.33,,,,Salem State
Elms,02,"Guerrier,Phonia",1,0.0,0.0,,0.0,0,,2,4.0,,0,0,0,0,2,0,0,0,2,0.0,0.0,,inf,Salem State
Elms,04,"Pacheco,Mia",3,0.0,2.0,,0.0,1,,0,0.0,,1,0,1,0,0,0,1,2,0,2.27,33.33,0.0,0.0,Salem State
Elms,10,"Turco,Mary",21,1.0,8.0,,0.0,1,,4,12.0,,3,4,7,1,1,1,1,5,6,6.52,7.0,12.5,150.0,Salem State
Elms,12,"Lewis,Jade",38,2.0,14.0,,0.0,1,,4,6.0,,2,3,5,2,3,0,5,2,8,4.44,23.11,14.29,42.86,Salem State
Elms,13,"Uribe,Talia",15,0.0,3.0,,0.0,0,,1,2.0,,0,0,0,0,2,0,3,4,1,0.0,43.6,0.0,66.67,Salem State
