Team,No.,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,OREB%,TOV%,EFG%,FTR,Game
Elms,01,"Smith,Heaven",3,0.0,1.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,USJ CT
Elms,02,"Guerrier,Phonia",1,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,,,,USJ CT
Elms,04,"Pacheco,Mia",1,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,,,,USJ CT
Elms,10,"Turco,Mary",27,4.0,12.0,,0.0,0,,2,5.0,,4,4,8,0,1,0,4,3,10,9.09,21.98,33.33,41.67,USJ CT
Elms,11,"Wasiewicz,Gabby",14,1.0,5.0,,1.0,5,,0,0.0,,0,1,1,0,1,0,3,0,3,0.0,37.5,30.0,0.0,USJ CT
Elms,12,"Lewis,Jade",31,5.0,13.0,,0.0,5,,0,0.0,,1,3,4,0,1,0,7,4,10,2.44,35.0,38.46,0.0,USJ CT
Elms,13,"Uribe,Talia",30,1.0,7.0,,0.0,0,,0,0.0,,2,3,5,0,5,0,2,1,2,4.76,22.22,14.29,0.0,USJ CT
Elms,14,"Gorski,Jenny",11,1.0,1.0,,0.0,0,,0,0.0,,1,0,1,0,0,0,1,0,2,2.44,50.0,100.0,0.0,USJ CT
Elms,15,"Barron,Shea",17,0.0,2.0,,0.0,0,,0,0.0,,0,1,1,0,0,0,2,1,0,0.0,50.0,0.0,0.0,USJ CT
Elms,20,"LeBel,Kelly",3,1.0,2.0,,1.0,2,,0,0.0,,0,0,0,0,0,0,1,0,3,0.0,33.33,75.0,0.0,USJ CT
Elms,22,"Johnston,Rahmia",33,2.0,12.0,,0.0,3,,1,2.0,,0,4,4,0,3,0,3,2,5,0.0,18.89,16.67,16.67,USJ CT
Elms,23,"Graham,Piper",23,1.0,6.0,,0.0,3,,1,2.0,,1,0,1,2,1,0,2,1,3,2.44,22.52,16.67,33.33,USJ CT
Elms,24,"Andrade,Sophia",3,0.0,1.0,,0.0,0,,0,0.0,,1,0,1,0,0,0,0,0,0,2.44,0.0,0.0,0.0,USJ CT
Elms,44,"Mildner,Stephanie",3,0.0,2.0,,0.0,0,,0,0.0,,0,1,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,USJ CT
Elms,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,1,5,6,,,,0,0,,2.44,,,,USJ CT
Saint Joseph (CT),00,"McTier,Gjamory'a",6,1.0,1.0,,0.0,0,,0,0.0,,0,2,2,0,0,0,0,0,2,0.0,0.0,100.0,0.0,USJ CT
Saint Joseph (CT),01,"Soto,Emiah",26,2.0,9.0,,0.0,0,,0,0.0,,0,1,1,2,2,0,4,1,4,0.0,30.77,22.22,0.0,USJ CT
Saint Joseph (CT),03,"Slisz,Maya",20,2.0,6.0,,0.0,2,,1,2.0,,1,3,4,6,2,0,6,0,5,4.35,46.58,33.33,33.33,USJ CT
Saint Joseph (CT),04,"Heslin,Olivia",15,4.0,6.0,,0.0,0,,0,0.0,,1,7,8,0,1,0,1,3,8,4.35,14.29,66.67,0.0,USJ CT
Saint Joseph (CT),05,"Yorke,Nevaeh",19,1.0,3.0,,0.0,0,,0,0.0,,0,3,3,1,1,0,1,1,2,0.0,25.0,33.33,0.0,USJ CT
Saint Joseph (CT),10,"Turcotte Briggs,Sequoia",16,2.0,7.0,,0.0,2,,0,0.0,,1,1,2,0,1,0,1,1,4,4.35,12.5,28.57,0.0,USJ CT
Saint Joseph (CT),11,"Frigo,Jelly",15,2.0,5.0,,2.0,4,,0,0.0,,0,1,1,1,0,0,0,0,6,0.0,0.0,60.0,0.0,USJ CT
Saint Joseph (CT),12,"Oliver,Janai",25,7.0,9.0,,0.0,0,,4,6.0,,3,14,17,1,1,0,2,0,18,12.0,14.66,77.78,66.67,USJ CT
Saint Joseph (CT),20,"Kulas,Ella",7,1.0,2.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,1,2,0.0,0.0,50.0,0.0,USJ CT
Saint Joseph (CT),22,"Verboven,Taylor",18,1.0,3.0,,0.0,0,,0,0.0,,0,1,1,5,0,0,2,1,2,0.0,40.0,33.33,0.0,USJ CT
Saint Joseph (CT),25,"Dorantes,Maci",9,1.0,3.0,,0.0,0,,0,0.0,,2,1,3,2,2,0,2,1,2,8.33,40.0,33.33,0.0,USJ CT
Saint Joseph (CT),33,"Ouellette,Jordan",24,11.0,14.0,,0.0,0,,0,0.0,,2,5,7,5,0,1,2,1,22,8.33,12.5,78.57,0.0,USJ CT
Saint Joseph (CT),TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,1,1,2,,,,0,0,,4.35,,,,USJ CT
