Lineup,Start Time,End Time,Plus/Minus,Total Time,Half,Total Time (Minutes),Plus/Minus Per Minute,Plus/Minus Per 25 Minutes,Game
"('LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",09:34,06:54,-4,02:40,1st Half,2.6666666666666665,-1.5,-37.5,USJ CT
"('BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",06:54,06:45,0,00:09,1st Half,0.15,0.0,0.0,USJ CT
"('BARRON,SHEA', 'GORSKI,JENNY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",06:45,05:19,-7,01:26,1st Half,1.4333333333333333,-4.88,-122.0,USJ CT
"('BARRON,SHEA', 'GORSKI,JENNY', 'LEWIS,JADE', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",05:19,03:11,0,02:08,1st Half,2.1333333333333333,0.0,0.0,USJ CT
"('TURCO,MARY', 'URIBE,TALIA', 'WASIEWICZ,GABBY', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",03:11,01:14,-1,01:57,1st Half,1.95,-0.51,-12.75,USJ CT
"('LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",01:14,01:03,0,00:11,1st Half,0.18333333333333332,0.0,0.0,USJ CT
"('ANDRADE,SOPHIA', 'LEWIS,JADE', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",01:03,09:40,0,08:37,2nd Half,8.616666666666667,0.0,0.0,USJ CT
"('LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",09:40,07:59,2,01:41,2nd Half,1.6833333333333333,1.19,29.75,USJ CT
"('BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",07:59,07:09,-4,00:50,2nd Half,0.8333333333333334,-4.8,-120.0,USJ CT
"('BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY', 'WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA')",07:09,04:46,-2,02:23,2nd Half,2.3833333333333333,-0.84,-21.0,USJ CT
"('BARRON,SHEA', 'ANDRADE,SOPHIA', 'LEWIS,JADE', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",04:46,04:03,-4,00:43,2nd Half,0.7166666666666667,-5.58,-139.5,USJ CT
"('GORSKI,JENNY', 'BARRON,SHEA', 'ANDRADE,SOPHIA', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",04:03,02:44,-1,01:19,2nd Half,1.3166666666666667,-0.76,-19.0,USJ CT
"('GORSKI,JENNY', 'BARRON,SHEA', 'TURCO,MARY', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",02:44,02:41,0,00:03,2nd Half,0.05,0.0,0.0,USJ CT
"('BARRON,SHEA', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",02:41,01:43,-4,00:58,2nd Half,0.9666666666666667,-4.14,-103.5,USJ CT
"('TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA')",01:43,01:23,0,00:20,2nd Half,0.3333333333333333,0.0,0.0,USJ CT
"('LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER', 'WASIEWICZ,GABBY', 'JOHNSTON,RAHMIA')",01:23,09:51,-6,08:28,2nd Half,8.466666666666667,-0.71,-17.75,USJ CT
"('LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",09:51,06:16,4,03:35,2nd Half,3.5833333333333335,1.12,28.0,USJ CT
"('BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",06:16,03:14,0,03:02,2nd Half,3.033333333333333,0.0,0.0,USJ CT
"('GORSKI,JENNY', 'BARRON,SHEA', 'LEWIS,JADE', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",03:14,02:39,-2,00:35,2nd Half,0.5833333333333334,-3.43,-85.75,USJ CT
"('GORSKI,JENNY', 'LEWIS,JADE', 'WASIEWICZ,GABBY', 'URIBE,TALIA', 'GRAHAM,PIPER')",02:39,09:54,3,07:15,2nd Half,7.25,0.41,10.25,USJ CT
"('LEWIS,JADE', 'TURCO,MARY', 'WASIEWICZ,GABBY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",09:54,07:33,-5,02:21,2nd Half,2.35,-2.13,-53.25,USJ CT
"('BARRON,SHEA', 'GORSKI,JENNY', 'TURCO,MARY', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",07:33,05:06,-4,02:27,2nd Half,2.45,-1.63,-40.75,USJ CT
"('GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",05:06,04:33,2,00:33,2nd Half,0.55,3.64,91.0,USJ CT
"('LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER', 'URIBE,TALIA', 'JOHNSTON,RAHMIA')",04:33,03:10,-2,01:23,2nd Half,1.3833333333333333,-1.45,-36.25,USJ CT
"('LEWIS,JADE', 'GRAHAM,PIPER', 'URIBE,TALIA', 'MILDNER,STEPHANIE', 'JOHNSTON,RAHMIA')",03:10,02:22,-3,00:48,2nd Half,0.8,-3.75,-93.75,USJ CT
"('LEWIS,JADE', 'GRAHAM,PIPER', 'MILDNER,STEPHANIE', 'SMITH,HEAVEN', 'JOHNSTON,RAHMIA')",02:22,01:01,0,01:21,2nd Half,1.35,0.0,0.0,USJ CT
