Team,No.,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,OREB%,TOV%,EFG%,FTR,Game
VTSU Lyndon,01,"Fitih,Victoria",9,1.0,3.0,,0.0,0,,1,2.0,,3,3,6,0,1,1,1,3,3,9.38,20.49,33.33,66.67,VSU Lyndon
VTSU Lyndon,02,"McIntire,Chloe",2,0.0,0.0,,0.0,0,,0,2.0,,0,1,1,0,0,1,0,0,0,0.0,0.0,,inf,VSU Lyndon
VTSU Lyndon,03,"Whitcomb,Kadienne",32,3.0,9.0,,3.0,7,,1,2.0,,1,4,5,2,1,0,1,0,10,3.33,9.19,50.0,22.22,VSU Lyndon
VTSU Lyndon,05,"Disorda,Kerigan",33,1.0,3.0,,0.0,2,,2,2.0,,0,3,3,4,0,0,3,3,4,0.0,43.6,33.33,66.67,VSU Lyndon
VTSU Lyndon,11,"Huntington,Ella",38,3.0,10.0,,0.0,2,,0,0.0,,1,6,7,4,2,0,5,1,6,3.33,33.33,30.0,0.0,VSU Lyndon
VTSU Lyndon,14,"Small,Elise",7,0.0,4.0,,0.0,3,,0,0.0,,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,VSU Lyndon
VTSU Lyndon,15,"Badertscher,Hannah",1,0.0,1.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,VSU Lyndon
VTSU Lyndon,21,"Smith,Sage",39,8.0,16.0,,4.0,10,,1,2.0,,3,2,5,1,3,0,8,3,21,9.38,32.15,62.5,12.5,VSU Lyndon
VTSU Lyndon,22,"Webster,Riley",15,3.0,9.0,,2.0,6,,2,2.0,,1,1,2,0,0,0,1,2,10,3.33,9.19,44.44,22.22,VSU Lyndon
VTSU Lyndon,23,"Coutermarsh,Alexis",1,0.0,1.0,,0.0,1,,1,2.0,,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,200.0,VSU Lyndon
VTSU Lyndon,34,"Mack,Kiara",23,1.0,5.0,,0.0,0,,0,0.0,,2,5,7,1,1,2,4,3,2,6.45,44.44,20.0,0.0,VSU Lyndon
VTSU Lyndon,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,0,0,0,,,,0,0,,0.0,,,,VSU Lyndon
Elms,10,"Turco,Mary",22,5.0,17.0,,0.0,0,,1,1.0,,4,3,7,1,1,0,1,4,11,13.79,5.42,29.41,5.88,VSU Lyndon
Elms,12,"Lewis,Jade",34,3.0,9.0,,2.0,6,,3,4.0,,0,5,5,0,3,0,4,2,11,0.0,27.1,44.44,44.44,VSU Lyndon
Elms,13,"Uribe,Talia",21,0.0,2.0,,0.0,1,,1,2.0,,0,4,4,1,1,0,2,5,1,0.0,40.98,0.0,100.0,VSU Lyndon
Elms,14,"Gorski,Jenny",25,5.0,13.0,,0.0,0,,0,0.0,,10,4,14,0,4,1,1,2,10,28.57,7.14,38.46,0.0,VSU Lyndon
Elms,15,"Barron,Shea",5,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,,,,VSU Lyndon
Elms,20,"LeBel,Kelly",21,2.0,8.0,,0.0,4,,0,0.0,,0,2,2,2,0,0,0,1,4,0.0,0.0,25.0,0.0,VSU Lyndon
Elms,22,"Johnston,Rahmia",34,2.0,7.0,,1.0,3,,5,6.0,,1,5,6,3,2,0,2,0,10,3.85,17.18,35.71,85.71,VSU Lyndon
Elms,23,"Graham,Piper",34,7.0,13.0,,5.0,6,,5,7.0,,0,6,6,1,1,0,3,2,24,0.0,15.72,73.08,53.85,VSU Lyndon
Elms,24,"Andrade,Sophia",4,0.0,0.0,,0.0,0,,0,2.0,,0,0,0,1,0,0,1,2,0,0.0,53.19,,inf,VSU Lyndon
Elms,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,0,0,0,,,,0,0,,0.0,,,,VSU Lyndon
