Lineup,Plus/Minus Per 25 Minutes,Plus/Minus Per Minute,Total Time,Game
"('LEWIS,JADE', 'SMITH,HEAVEN', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",25.25,1.01,02:58,VSU Lyndon
"('LEWIS,JADE', 'SMITH,HEAVEN', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",23.5,0.94,02:08,VSU Lyndon
"('LEWIS,JADE', 'SMITH,HEAVEN', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",,,00:00,VSU Lyndon
"('SMITH,HEAVEN', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY')",53.5,2.14,02:20,VSU Lyndon
"('SMITH,HEAVEN', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",,,00:00,VSU Lyndon
"('SMITH,HEAVEN', 'GRAHAM,PIPER', 'TURCO,MARY', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",0.0,0.0,01:35,VSU Lyndon
"('LEWIS,JADE', 'SMITH,HEAVEN', 'GRAHAM,PIPER', 'TURCO,MARY', 'LEBEL,KELLY')",0.0,0.0,09:12,VSU Lyndon
"('LEWIS,JADE', 'SMITH,HEAVEN', 'ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'TURCO,MARY')",-16.75,-0.67,01:30,VSU Lyndon
"('LEWIS,JADE', 'SMITH,HEAVEN', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA')",0.0,0.0,01:30,VSU Lyndon
"('LEWIS,JADE', 'SMITH,HEAVEN', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",8.75,0.35,02:53,VSU Lyndon
"('SMITH,HEAVEN', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'BARRON,SHEA')",,,00:00,VSU Lyndon
"('SMITH,HEAVEN', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY')",0.0,0.0,01:33,VSU Lyndon
"('SMITH,HEAVEN', 'LEBEL,KELLY', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",0.0,0.0,00:57,VSU Lyndon
"('LEWIS,JADE', 'SMITH,HEAVEN', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",0.0,0.0,00:58,VSU Lyndon
"('LEWIS,JADE', 'ANDRADE,SOPHIA', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",2.75,0.11,09:21,VSU Lyndon
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",-43.25,-1.73,03:28,VSU Lyndon
"('LEWIS,JADE', 'SMITH,HEAVEN', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",0.0,0.0,00:51,VSU Lyndon
"('LEWIS,JADE', 'SMITH,HEAVEN', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",17.0,0.68,01:28,VSU Lyndon
"('LEWIS,JADE', 'SMITH,HEAVEN', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'GORSKI,JENNY')",-67.5,-2.7,01:51,VSU Lyndon
"('SMITH,HEAVEN', 'GRAHAM,PIPER', 'BARRON,SHEA', 'LEBEL,KELLY', 'GORSKI,JENNY')",,,00:00,VSU Lyndon
"('SMITH,HEAVEN', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'URIBE,TALIA', 'GORSKI,JENNY')",-9.75,-0.39,07:38,VSU Lyndon
"('SMITH,HEAVEN', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY')",,,00:00,VSU Lyndon
"('SMITH,HEAVEN', 'GRAHAM,PIPER', 'TURCO,MARY', 'URIBE,TALIA', 'GORSKI,JENNY')",66.0,2.64,03:02,VSU Lyndon
"('LEWIS,JADE', 'SMITH,HEAVEN', 'GRAHAM,PIPER', 'TURCO,MARY', 'GORSKI,JENNY')",-25.0,-1.0,01:00,VSU Lyndon
"('LEWIS,JADE', 'SMITH,HEAVEN', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA')",0.0,0.0,00:38,VSU Lyndon
"('LEWIS,JADE', 'SMITH,HEAVEN', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",16.75,0.67,02:59,VSU Lyndon
"('LEWIS,JADE', 'SMITH,HEAVEN', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",42.5,1.7,02:21,VSU Lyndon
