Team,No.,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,OREB%,TOV%,EFG%,FTR,Game
Norwich,03,"Hadunnetthi Rannuluge,Shenale",2,0.0,0.0,,0.0,0,,0,0.0,,2,0,2,0,1,0,1,0,0,7.69,100.0,,,WBB NORWICH AT ELMS 2024-25
Norwich,05,"Chalmers,Mallorie",15,1.0,1.0,,0.0,0,,4,5.0,,0,0,0,1,0,0,0,0,6,0.0,0.0,100.0,500.0,WBB NORWICH AT ELMS 2024-25
Norwich,11,"Briggs,Lily",23,4.0,12.0,,3.0,8,,0,0.0,,2,2,4,3,4,0,2,3,11,7.69,14.29,45.83,0.0,WBB NORWICH AT ELMS 2024-25
Norwich,12,"Reeve,Morgan",0,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,,,,WBB NORWICH AT ELMS 2024-25
Norwich,15,"Thomas,Erika",9,0.0,3.0,,0.0,2,,0,0.0,,0,1,1,0,0,0,1,1,0,0.0,25.0,0.0,0.0,WBB NORWICH AT ELMS 2024-25
Norwich,21,"O'Donnell,Siobhan",30,2.0,6.0,,0.0,1,,0,0.0,,1,2,3,4,4,0,6,2,4,4.0,50.0,33.33,0.0,WBB NORWICH AT ELMS 2024-25
Norwich,23,"Zimmerman,Jessie",20,0.0,3.0,,0.0,0,,0,0.0,,1,5,6,3,0,2,0,2,0,4.0,0.0,0.0,0.0,WBB NORWICH AT ELMS 2024-25
Norwich,30,"Brewster,Haley",33,6.0,16.0,,4.0,11,,0,0.0,,0,2,2,3,4,0,3,2,16,0.0,15.79,50.0,0.0,WBB NORWICH AT ELMS 2024-25
Norwich,31,"O'Brien,Kiley",29,5.0,9.0,,0.0,1,,0,0.0,,0,4,4,3,0,1,1,4,10,0.0,10.0,55.56,0.0,WBB NORWICH AT ELMS 2024-25
Norwich,33,"MacAuley,Sage",10,1.0,1.0,,0.0,0,,0,2.0,,0,1,1,0,0,0,1,0,2,0.0,34.72,100.0,200.0,WBB NORWICH AT ELMS 2024-25
Norwich,34,"McGinn,Maren",26,10.0,16.0,,0.0,0,,3,3.0,,4,4,8,0,1,0,3,4,23,14.29,14.76,62.5,18.75,WBB NORWICH AT ELMS 2024-25
Norwich,35,"Dwinell,Paige",3,0.0,3.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,1,0,0,0.0,25.0,0.0,0.0,WBB NORWICH AT ELMS 2024-25
Norwich,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,0,0,0,,,,1,0,,0.0,100.0,,,WBB NORWICH AT ELMS 2024-25
Elms,10,"Turco,Mary",23,5.0,11.0,,0.0,0,,2,2.0,,3,6,9,2,1,0,5,3,12,12.5,29.62,45.45,18.18,WBB NORWICH AT ELMS 2024-25
Elms,11,"Wasiewicz,Gabby",15,5.0,10.0,,5.0,10,,0,0.0,,1,1,2,0,1,0,1,1,15,4.55,9.09,75.0,0.0,WBB NORWICH AT ELMS 2024-25
Elms,12,"Lewis,Jade",36,4.0,15.0,,4.0,7,,3,4.0,,0,3,3,3,2,0,8,2,15,0.0,32.31,40.0,26.67,WBB NORWICH AT ELMS 2024-25
Elms,13,"Uribe,Talia",20,0.0,1.0,,0.0,0,,2,2.0,,0,2,2,3,2,2,1,4,2,0.0,34.72,0.0,200.0,WBB NORWICH AT ELMS 2024-25
Elms,14,"Gorski,Jenny",17,1.0,3.0,,0.0,0,,1,2.0,,4,4,8,2,1,1,2,2,3,16.0,34.01,33.33,66.67,WBB NORWICH AT ELMS 2024-25
Elms,15,"Barron,Shea",24,2.0,4.0,,2.0,4,,0,0.0,,0,0,0,1,0,0,1,1,6,0.0,20.0,75.0,0.0,WBB NORWICH AT ELMS 2024-25
Elms,20,"LeBel,Kelly",2,0.0,0.0,,0.0,0,,0,0.0,,0,1,1,0,0,0,0,0,0,0.0,,,,WBB NORWICH AT ELMS 2024-25
Elms,22,"Johnston,Rahmia",37,4.0,13.0,,1.0,6,,8,9.0,,1,6,7,3,1,0,1,1,17,4.55,5.57,34.62,69.23,WBB NORWICH AT ELMS 2024-25
Elms,23,"Graham,Piper",26,4.0,6.0,,3.0,4,,0,0.0,,2,1,3,4,2,0,3,0,11,8.7,33.33,91.67,0.0,WBB NORWICH AT ELMS 2024-25
Elms,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,0,0,0,,,,1,0,,0.0,100.0,,,WBB NORWICH AT ELMS 2024-25
