Lineup,Start Time,End Time,Plus/Minus,Total Time,Half,Total Time (Minutes),Plus/Minus Per Minute,Plus/Minus Per 25 Minutes,Game
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER')",09:41,06:47,-4,02:54,1st Half,2.9,-1.38,-34.5,WBB NORWICH AT ELMS 2024-25
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'BARRON,SHEA')",06:47,04:43,-4,02:04,1st Half,2.066666666666667,-1.94,-48.5,WBB NORWICH AT ELMS 2024-25
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'GORSKI,JENNY', 'TURCO,MARY', 'BARRON,SHEA')",04:43,03:55,0,00:48,1st Half,0.8,0.0,0.0,WBB NORWICH AT ELMS 2024-25
"('JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY', 'TURCO,MARY', 'URIBE,TALIA', 'BARRON,SHEA')",03:55,02:47,0,01:08,1st Half,1.1333333333333333,0.0,0.0,WBB NORWICH AT ELMS 2024-25
"('WASIEWICZ,GABBY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'URIBE,TALIA')",02:47,01:36,6,01:11,1st Half,1.1833333333333333,5.07,126.75,WBB NORWICH AT ELMS 2024-25
"('WASIEWICZ,GABBY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'GORSKI,JENNY', 'URIBE,TALIA')",01:36,00:31,1,01:05,1st Half,1.0833333333333333,0.92,23.0,WBB NORWICH AT ELMS 2024-25
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'GORSKI,JENNY', 'BARRON,SHEA')",00:31,09:36,3,09:05,2nd Half,9.083333333333334,0.33,8.25,WBB NORWICH AT ELMS 2024-25
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'BARRON,SHEA')",09:36,06:48,-4,02:48,2nd Half,2.8,-1.43,-35.75,WBB NORWICH AT ELMS 2024-25
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'URIBE,TALIA', 'BARRON,SHEA')",06:48,06:30,2,00:18,2nd Half,0.3,6.67,166.75,WBB NORWICH AT ELMS 2024-25
"('LEWIS,JADE', 'GRAHAM,PIPER', 'GORSKI,JENNY', 'URIBE,TALIA', 'BARRON,SHEA')",06:30,05:31,-1,00:59,2nd Half,0.9833333333333333,-1.02,-25.5,WBB NORWICH AT ELMS 2024-25
