Lineup,Plus/Minus,Total Time,Game
"('GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",2,13:49,WBB NORWICH AT ELMS 2024-25
"('BARRON,SHEA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE')",3,13:39,WBB NORWICH AT ELMS 2024-25
"('BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'TURCO,MARY', 'WASIEWICZ,GABBY')",0,00:48,WBB NORWICH AT ELMS 2024-25
"('BARRON,SHEA', 'JOHNSTON,RAHMIA', 'TURCO,MARY', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",0,01:08,WBB NORWICH AT ELMS 2024-25
"('GRAHAM,PIPER', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",6,01:11,WBB NORWICH AT ELMS 2024-25
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'LEWIS,JADE', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",1,01:05,WBB NORWICH AT ELMS 2024-25
"('BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",-4,02:48,WBB NORWICH AT ELMS 2024-25
"('BARRON,SHEA', 'GRAHAM,PIPER', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",2,00:18,WBB NORWICH AT ELMS 2024-25
"('BARRON,SHEA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'LEWIS,JADE', 'URIBE,TALIA')",-1,00:59,WBB NORWICH AT ELMS 2024-25
"('BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA')",1,00:36,WBB NORWICH AT ELMS 2024-25
"('BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'WASIEWICZ,GABBY')",2,01:17,WBB NORWICH AT ELMS 2024-25
"('BARRON,SHEA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'WASIEWICZ,GABBY')",-1,06:58,WBB NORWICH AT ELMS 2024-25
"('GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'WASIEWICZ,GABBY')",-2,00:37,WBB NORWICH AT ELMS 2024-25
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'WASIEWICZ,GABBY')",-2,01:06,WBB NORWICH AT ELMS 2024-25
"('BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'WASIEWICZ,GABBY')",0,09:09,WBB NORWICH AT ELMS 2024-25
"('BARRON,SHEA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",1,02:02,WBB NORWICH AT ELMS 2024-25
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA')",3,03:42,WBB NORWICH AT ELMS 2024-25
"('BARRON,SHEA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",-1,00:11,WBB NORWICH AT ELMS 2024-25
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",-1,00:20,WBB NORWICH AT ELMS 2024-25
"('GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",0,00:14,WBB NORWICH AT ELMS 2024-25
