Lineup,Plus/Minus Per 25 Minutes,Plus/Minus Per Minute,Total Time,Game
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",-34.5,-1.38,02:54,WBB NORWICH AT ELMS 2024-25
"('LEWIS,JADE', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'BARRON,SHEA')",-48.5,-1.94,02:04,WBB NORWICH AT ELMS 2024-25
"('WASIEWICZ,GABBY', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'BARRON,SHEA')",0.0,0.0,00:48,WBB NORWICH AT ELMS 2024-25
"('WASIEWICZ,GABBY', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'BARRON,SHEA')",0.0,0.0,01:08,WBB NORWICH AT ELMS 2024-25
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'GRAHAM,PIPER', 'TURCO,MARY', 'URIBE,TALIA')",126.75,5.07,01:11,WBB NORWICH AT ELMS 2024-25
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'GRAHAM,PIPER', 'URIBE,TALIA', 'GORSKI,JENNY')",23.0,0.92,01:05,WBB NORWICH AT ELMS 2024-25
"('LEWIS,JADE', 'GRAHAM,PIPER', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",8.25,0.33,09:05,WBB NORWICH AT ELMS 2024-25
"('LEWIS,JADE', 'GRAHAM,PIPER', 'BARRON,SHEA', 'TURCO,MARY', 'JOHNSTON,RAHMIA')",-35.75,-1.43,02:48,WBB NORWICH AT ELMS 2024-25
"('LEWIS,JADE', 'GRAHAM,PIPER', 'BARRON,SHEA', 'TURCO,MARY', 'URIBE,TALIA')",166.75,6.67,00:18,WBB NORWICH AT ELMS 2024-25
"('LEWIS,JADE', 'GRAHAM,PIPER', 'BARRON,SHEA', 'URIBE,TALIA', 'GORSKI,JENNY')",-25.5,-1.02,00:59,WBB NORWICH AT ELMS 2024-25
"('LEWIS,JADE', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY')",41.75,1.67,00:36,WBB NORWICH AT ELMS 2024-25
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",51.75,2.07,00:58,WBB NORWICH AT ELMS 2024-25
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'BARRON,SHEA', 'TURCO,MARY', 'JOHNSTON,RAHMIA')",90.25,3.61,01:23,WBB NORWICH AT ELMS 2024-25
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA')",-81.0,-3.24,00:37,WBB NORWICH AT ELMS 2024-25
"('WASIEWICZ,GABBY', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",-45.5,-1.82,01:06,WBB NORWICH AT ELMS 2024-25
"('WASIEWICZ,GABBY', 'BARRON,SHEA', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",0.0,0.0,09:09,WBB NORWICH AT ELMS 2024-25
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",12.0,0.48,02:05,WBB NORWICH AT ELMS 2024-25
"('LEWIS,JADE', 'BARRON,SHEA', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",28.25,1.13,00:53,WBB NORWICH AT ELMS 2024-25
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'BARRON,SHEA', 'TURCO,MARY', 'JOHNSTON,RAHMIA')",-47.25,-1.89,02:07,WBB NORWICH AT ELMS 2024-25
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",0.0,0.0,00:19,WBB NORWICH AT ELMS 2024-25
"('LEWIS,JADE', 'GRAHAM,PIPER', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",40.0,1.6,02:30,WBB NORWICH AT ELMS 2024-25
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",6.25,0.25,07:54,WBB NORWICH AT ELMS 2024-25
"('LEWIS,JADE', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY')",52.0,2.08,02:24,WBB NORWICH AT ELMS 2024-25
"('LEWIS,JADE', 'BARRON,SHEA', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",0.0,0.0,01:09,WBB NORWICH AT ELMS 2024-25
"('LEWIS,JADE', 'WASIEWICZ,GABBY', 'BARRON,SHEA', 'TURCO,MARY', 'JOHNSTON,RAHMIA')",-14.5,-0.58,03:28,WBB NORWICH AT ELMS 2024-25
"('GRAHAM,PIPER', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY')",-136.25,-5.45,00:11,WBB NORWICH AT ELMS 2024-25
"('LEWIS,JADE', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY')",-38.5,-1.54,01:18,WBB NORWICH AT ELMS 2024-25
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",176.5,7.06,00:17,WBB NORWICH AT ELMS 2024-25
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY')",-75.0,-3.0,00:20,WBB NORWICH AT ELMS 2024-25
"('LEWIS,JADE', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY')",0.0,0.0,00:14,WBB NORWICH AT ELMS 2024-25
"('LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",38.5,1.54,00:39,WBB NORWICH AT ELMS 2024-25
