Team,No.,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,OREB%,TOV%,EFG%,FTR,Game
WPI,02,"Carson,Kayleigh",2,1.0,1.0,,0.0,0,,0,0.0,,0,0,0,0,1,0,0,0,2,0.0,0.0,100.0,0.0,WPI
WPI,03,"Ouellette,Corinn",2,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,1,0,0,0.0,100.0,,,WPI
WPI,04,"Stone,Megan",17,2.0,2.0,,0.0,0,,2,2.0,,2,3,5,1,1,0,2,1,6,11.76,40.98,100.0,100.0,WPI
WPI,05,"Jansen,Femke",3,0.0,1.0,,0.0,1,,0,0.0,,0,0,0,0,0,0,1,1,0,0.0,50.0,0.0,0.0,WPI
WPI,10,"Cueto,Alyssa",9,0.0,1.0,,0.0,0,,0,0.0,,1,1,2,1,0,0,5,1,0,6.25,83.33,0.0,0.0,WPI
WPI,14,"Dasaro,Caitlyn",28,7.0,10.0,,0.0,0,,0,0.0,,2,3,5,0,0,0,2,2,14,11.76,16.67,70.0,0.0,WPI
WPI,15,"Nielsen,Leila",10,0.0,2.0,,0.0,0,,0,0.0,,1,0,1,1,0,1,0,1,0,6.25,0.0,0.0,0.0,WPI
WPI,20,"Goldrick,Kayla",2,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,,,,WPI
WPI,21,"Hyams,Ava",3,1.0,1.0,,0.0,0,,0,0.0,,0,1,1,0,0,0,0,0,2,0.0,0.0,100.0,0.0,WPI
WPI,22,"Kelly,Alice",30,5.0,12.0,,2.0,4,,3,4.0,,4,6,10,6,3,4,3,2,15,21.05,17.9,50.0,33.33,WPI
WPI,23,"Reno,Shannon",32,3.0,6.0,,2.0,5,,0,0.0,,3,1,4,7,1,0,1,0,8,16.67,14.29,66.67,0.0,WPI
WPI,24,"MacPhetres,Delaney",2,1.0,2.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,2,0.0,0.0,50.0,0.0,WPI
WPI,25,"Fullem,Allison",15,3.0,7.0,,0.0,0,,4,5.0,,1,6,7,3,0,3,2,3,10,6.25,17.86,42.86,71.43,WPI
WPI,33,"Zembrzuski,Hailey",2,0.0,1.0,,0.0,0,,0,0.0,,1,0,1,1,0,0,0,0,0,6.25,0.0,0.0,0.0,WPI
WPI,34,"Allyn,Emmy",32,4.0,14.0,,3.0,9,,0,0.0,,1,0,1,3,5,0,2,2,11,6.25,12.5,39.29,0.0,WPI
WPI,44,"Davenport,Paige",11,3.0,5.0,,0.0,0,,0,0.0,,3,2,5,2,0,0,0,1,6,16.67,0.0,60.0,0.0,WPI
WPI,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,1,2,3,,,,1,0,,6.25,100.0,,,WPI
Elms,01,"Smith,Heaven",2,0.0,1.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,WPI
Elms,02,"Guerrier,Phonia",2,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,,,,WPI
Elms,04,"Pacheco,Mia",2,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,1,0,0,0.0,100.0,,,WPI
Elms,10,"Turco,Mary",20,2.0,4.0,,0.0,0,,2,4.0,,3,3,6,1,2,1,4,4,6,10.71,40.98,50.0,100.0,WPI
Elms,12,"Lewis,Jade",33,2.0,8.0,,1.0,3,,2,4.0,,0,0,0,2,2,0,6,1,7,0.0,38.07,31.25,50.0,WPI
Elms,13,"Uribe,Talia",25,1.0,6.0,,0.0,0,,0,0.0,,2,1,3,1,0,0,4,1,2,7.41,40.0,16.67,0.0,WPI
Elms,14,"Gorski,Jenny",18,6.0,9.0,,0.0,0,,1,1.0,,4,2,6,0,1,0,2,2,13,13.79,17.48,66.67,11.11,WPI
Elms,15,"Barron,Shea",17,1.0,3.0,,1.0,3,,0,0.0,,1,3,4,0,1,0,1,0,3,3.85,25.0,50.0,0.0,WPI
Elms,20,"LeBel,Kelly",11,1.0,1.0,,0.0,0,,0,0.0,,0,0,0,1,0,0,1,0,2,0.0,50.0,100.0,0.0,WPI
Elms,22,"Johnston,Rahmia",37,3.0,16.0,,1.0,5,,4,4.0,,0,0,0,2,3,0,1,1,11,0.0,5.33,21.88,25.0,WPI
Elms,23,"Graham,Piper",24,2.0,6.0,,1.0,5,,0,1.0,,0,3,3,1,1,0,2,0,5,0.0,23.7,41.67,16.67,WPI
Elms,24,"Andrade,Sophia",5,0.0,0.0,,0.0,0,,0,0.0,,0,1,1,0,0,0,0,0,0,0.0,,,,WPI
Elms,32,"Scott,Ta'Niyah",2,1.0,1.0,,0.0,0,,0,0.0,,0,1,1,0,0,0,0,0,2,0.0,0.0,100.0,0.0,WPI
Elms,44,"Mildner,Stephanie",2,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,,,,WPI
Elms,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,4,1,5,,,,1,0,,13.79,100.0,,,WPI
