Team,No.,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,OREB%,TOV%,EFG%,FTR,Game
Wellesley,2,"Barrow, Trinity",32,2.0,7.0,28.6,1.0,2,50,0,0.0,0,3,5,8,1,0,1,3,3,5,16.67,30.0,35.71,0.0,Wellesley
Wellesley,3,"LePage, Arielle",0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,Wellesley
Wellesley,4,"Cheng, Amanda",3,1.0,2.0,50,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,50.0,0.0,Wellesley
Wellesley,11,"Chen, Stacy",21,2.0,5.0,40,1.0,3,33.3,0,0.0,0,0,3,3,1,0,0,3,1,5,0.0,37.5,50.0,0.0,Wellesley
Wellesley,12,"Hofer, Arla",30,1.0,3.0,33.3,0.0,0,0,2,2.0,100,2,7,9,1,1,1,7,2,4,11.76,64.34,33.33,66.67,Wellesley
Wellesley,13,"Funari, Mirella",32,5.0,9.0,55.6,0.0,1,0,4,5.0,80,0,3,3,2,4,0,4,4,14,0.0,26.32,55.56,55.56,Wellesley
Wellesley,23,"Sheahan, Bridget",10,0.0,1.0,0,0.0,0,0,1,2.0,50,0,3,3,1,0,0,4,2,1,0.0,68.03,0.0,200.0,Wellesley
Wellesley,24,"Windross, Caitlin",14,2.0,5.0,40,0.0,0,0,0,0.0,0,1,1,2,2,3,0,1,3,4,6.25,16.67,40.0,0.0,Wellesley
Wellesley,25,"Techarungchaikul, Proud",8,0.0,0.0,0,0.0,0,0,0,0.0,0,0,1,1,1,0,0,1,0,0,0.0,100.0,,,Wellesley
Wellesley,30,"Serna, Yitzel",0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,Wellesley
Wellesley,31,"Elson, Emaleena",20,2.0,3.0,66.7,1.0,2,50,0,0.0,0,0,0,0,1,2,0,2,3,5,0.0,40.0,83.33,0.0,Wellesley
Wellesley,33,"Shane, Ava",30,5.0,7.0,71.4,0.0,0,0,4,8.0,50,2,6,8,2,2,0,5,2,14,11.76,32.22,71.43,114.29,Wellesley
Wellesley,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,0,0,0,,,,0,0,,0.0,,,,Wellesley
Elms,1,"Smith, Heaven",0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,Wellesley
Elms,2,"Guerrier, Phonia",1,0.0,1.0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,Wellesley
Elms,4,"Pacheco, Mia",1,0.0,0.0,0,0.0,0,0,0,0.0,0,0,1,1,0,0,0,0,0,0,0.0,,,,Wellesley
Elms,10,"Turco, Mary",25,2.0,7.0,28.6,0.0,0,0,5,6.0,83.3,4,4,8,0,3,0,5,3,9,12.12,34.15,28.57,85.71,Wellesley
Elms,11,"Wasiewicz, Gabby",0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,Wellesley
Elms,12,"Lewis, Jade",37,4.0,12.0,33.3,2.0,4,50,3,4.0,75,5,1,6,2,3,0,6,2,13,14.71,30.36,41.67,33.33,Wellesley
Elms,13,"Uribe, Talia",34,0.0,6.0,0,0.0,0,0,0,2.0,0,2,2,4,0,3,0,1,1,0,6.45,12.69,0.0,33.33,Wellesley
Elms,14,"Gorski, Jenny",26,1.0,6.0,16.7,0.0,0,0,2,2.0,100,1,4,5,1,3,0,2,2,4,3.33,22.52,16.67,33.33,Wellesley
Elms,15,"Barron, Shea",3,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,,,,Wellesley
Elms,20,"LeBel, Kelly",12,0.0,4.0,0,0.0,3,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,Wellesley
Elms,22,"Johnston, Rahmia",35,1.0,10.0,10,1.0,5,20,3,4.0,75,2,1,3,1,4,0,2,2,6,6.45,14.53,15.0,40.0,Wellesley
Elms,23,"Graham, Piper",14,0.0,7.0,0,0.0,5,0,0,0.0,0,0,2,2,0,0,0,4,4,0,0.0,36.36,0.0,0.0,Wellesley
Elms,24,"Andrade, Sophia",2,0.0,1.0,0,0.0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,Wellesley
Elms,32,"Scott, Ta'Niyah",1,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,Wellesley
Elms,33,"Koch, Autumn",7,0.0,1.0,0,0.0,1,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,Wellesley
Elms,40,"Stokes, Danajah",1,1.0,1.0,100,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,100.0,0.0,Wellesley
Elms,44,"Mildner, Stephanie",1,0.0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,,,,Wellesley
Elms,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,0,0,0,,,,0,0,,0.0,,,,Wellesley
