Lineup,Start Time,End Time,Plus/Minus,Total Time,Half,Total Time (Minutes),Plus/Minus Per Minute,Plus/Minus Per 25 Minutes,Game
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY')",09:54,06:49,-2,03:05,1st Half,3.0833333333333335,-0.65,-16.25,Wellesley
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'LEBEL,KELLY')",06:49,05:40,-2,01:09,1st Half,1.15,-1.74,-43.5,Wellesley
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY', 'LEBEL,KELLY')",05:40,03:25,0,02:15,1st Half,2.25,0.0,0.0,Wellesley
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY')",03:25,02:14,-1,01:11,1st Half,1.1833333333333333,-0.85,-21.25,Wellesley
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'ANDRADE,SOPHIA')",02:14,10:00,-6,07:46,2nd Half,7.766666666666667,-0.77,-19.25,Wellesley
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY')",10:00,05:47,3,04:13,2nd Half,4.216666666666667,0.71,17.75,Wellesley
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY')",05:47,04:25,0,01:22,2nd Half,1.3666666666666667,0.0,0.0,Wellesley
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'BARRON,SHEA', 'GORSKI,JENNY', 'LEWIS,JADE')",04:25,02:36,-1,01:49,2nd Half,1.8166666666666667,-0.55,-13.75,Wellesley
"('URIBE,TALIA', 'JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'LEBEL,KELLY')",02:36,00:26,-1,02:10,2nd Half,2.1666666666666665,-0.46,-11.5,Wellesley
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'LEBEL,KELLY')",00:26,09:06,4,08:40,2nd Half,8.666666666666666,0.46,11.5,Wellesley
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY')",09:06,09:06,2,00:00,2nd Half,0.0,inf,inf,Wellesley
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY')",09:06,10:00,-14,00:54,2nd Half,0.9,-15.56,-389.0,Wellesley
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'TURCO,MARY')",10:00,07:03,-4,02:57,2nd Half,2.95,-1.36,-34.0,Wellesley
"('URIBE,TALIA', 'GORSKI,JENNY', 'LEBEL,KELLY', 'LEWIS,JADE', 'TURCO,MARY')",07:03,03:55,4,03:08,2nd Half,3.1333333333333333,1.28,32.0,Wellesley
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY')",03:55,00:02,-2,03:53,2nd Half,3.8833333333333333,-0.52,-13.0,Wellesley
