Team,No.,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,OREB%,TOV%,EFG%,FTR,Game
Elms,02,Phonia Guerrier,1,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,1,0,0,0.0,100.0,,,Wentworth
Elms,04,Mia Pacheco,1,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,,,,Wentworth
Elms,10,Mary Turco,29,8.0,13.0,,0.0,0,,0,0.0,,7,9,16,1,3,1,2,2,16,25.0,13.33,61.54,0.0,Wentworth
Elms,12,Jade Lewis,34,6.0,11.0,,0.0,0,,2,2.0,,2,0,2,5,1,0,4,3,14,8.7,25.19,54.55,18.18,Wentworth
Elms,13,Talia Uribe,20,4.0,6.0,,0.0,0,,0,0.0,,3,3,6,0,2,0,2,4,8,12.5,25.0,66.67,0.0,Wentworth
Elms,14,Jenny Gorski,20,2.0,5.0,,0.0,0,,0,1.0,,4,2,6,1,6,0,0,1,4,16.0,0.0,40.0,20.0,Wentworth
Elms,15,Shea Barron,8,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,1,1,0,0,1,0,0.0,,,,Wentworth
Elms,20,Kelly LeBel,13,3.0,8.0,,0.0,2,,0,0.0,,0,1,1,0,0,0,2,0,6,0.0,20.0,37.5,0.0,Wentworth
Elms,22,Rahmia Johnston,32,2.0,10.0,,0.0,4,,6,6.0,,0,5,5,2,1,0,4,3,10,0.0,24.04,20.0,60.0,Wentworth
Elms,23,Piper Graham,30,4.0,13.0,,0.0,5,,0,1.0,,1,2,3,6,4,0,3,2,8,4.55,18.25,30.77,7.69,Wentworth
Elms,24,Sophia Andrade,4,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,1,0,1,0,0,0.0,100.0,,,Wentworth
Elms,32,Ta'Niyah Scott,2,0.0,0.0,,0.0,0,,0,0.0,,0,1,1,0,0,0,3,0,0,0.0,100.0,,,Wentworth
Elms,34,Autumn Koch,3,0.0,0.0,,0.0,0,,2,2.0,,0,0,0,0,0,0,0,0,2,0.0,0.0,,inf,Wentworth
Elms,35,Stephanie Mildner,2,0.0,0.0,,0.0,0,,0,0.0,,0,0,0,0,0,0,0,0,0,0.0,,,,Wentworth
Elms,50,Danajah Stokes,1,0.0,0.0,,0.0,0,,0,0.0,,0,1,1,0,0,0,1,0,0,0.0,100.0,,,Wentworth
Elms,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,1,3,4,,,,2,0,0,4.55,100.0,,,Wentworth
Wentworth,01,Tita Rana,10,2.0,2.0,,0.0,0,,0,0.0,,1,1,2,0,0,0,2,0,4,3.57,50.0,100.0,0.0,Wentworth
Wentworth,02,Samantha Jones,27,2.0,9.0,,1.0,1,,0,0.0,,0,1,1,6,2,0,6,2,5,0.0,40.0,27.78,0.0,Wentworth
Wentworth,03,Brianna Carroll,19,4.0,11.0,,3.0,10,,1,2.0,,1,4,5,1,2,0,1,0,12,3.57,7.76,50.0,18.18,Wentworth
Wentworth,04,Reagan Madonia,22,4.0,10.0,,3.0,7,,0,0.0,,0,1,1,1,2,0,2,0,11,0.0,16.67,55.0,0.0,Wentworth
Wentworth,11,Brooke Carlson,13,1.0,4.0,,0.0,0,,0,0.0,,1,2,3,0,0,0,0,0,2,3.57,0.0,25.0,0.0,Wentworth
Wentworth,20,Maddie Gaynor,16,0.0,3.0,,0.0,2,,0,2.0,,1,0,1,2,0,0,3,2,0,3.57,43.6,0.0,66.67,Wentworth
Wentworth,23,Elise Ayer,7,0.0,1.0,,0.0,0,,0,0.0,,0,2,2,1,3,0,0,1,0,0.0,0.0,0.0,0.0,Wentworth
Wentworth,25,Gabby Amoddio,28,3.0,9.0,,0.0,4,,2,3.0,,1,2,3,3,0,1,2,3,8,3.57,16.23,33.33,33.33,Wentworth
Wentworth,30,Maddy Foster,23,3.0,6.0,,1.0,2,,0,2.0,,4,3,7,2,0,0,7,2,7,12.9,50.43,58.33,33.33,Wentworth
Wentworth,35,Taylor Garabedian,35,4.0,7.0,,0.0,1,,1,2.0,,4,4,8,4,3,0,6,2,9,12.9,43.23,57.14,28.57,Wentworth
Wentworth,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,2,1,3,,,,0,0,0,6.9,,,,Wentworth
