Lineup,Start Time,End Time,Plus/Minus,Total Time,Half,Total Time (Minutes),Plus/Minus Per Minute,Plus/Minus Per 25 Minutes,Game
"('JOHNSTON,RAHMIA', 'URIBE,TALIA', 'TURCO,MARY', 'LEWIS,JADE', 'GRAHAM,PIPER')",09:46,07:24,-2,02:22,1st Half,2.3666666666666667,-0.85,-21.25,Wentworth
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'TURCO,MARY', 'LEWIS,JADE', 'GRAHAM,PIPER')",07:24,05:01,6,02:23,1st Half,2.3833333333333333,2.52,63.0,Wentworth
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'BARRON,SHEA', 'LEWIS,JADE', 'GRAHAM,PIPER')",05:01,03:42,-1,01:19,1st Half,1.3166666666666667,-0.76,-19.0,Wentworth
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEBEL,KELLY', 'BARRON,SHEA', 'GRAHAM,PIPER')",03:42,02:32,-4,01:10,1st Half,1.1666666666666667,-3.43,-85.75,Wentworth
"('JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'TURCO,MARY', 'BARRON,SHEA', 'LEWIS,JADE')",02:32,01:10,-3,01:22,1st Half,1.3666666666666667,-2.2,-55.0,Wentworth
"('GORSKI,JENNY', 'LEBEL,KELLY', 'TURCO,MARY', 'LEWIS,JADE', 'GRAHAM,PIPER')",01:10,02:49,3,01:39,2nd Half,1.65,1.82,45.5,Wentworth
"('GORSKI,JENNY', 'LEBEL,KELLY', 'URIBE,TALIA', 'LEWIS,JADE', 'GRAHAM,PIPER')",02:49,01:43,2,01:06,2nd Half,1.1,1.82,45.5,Wentworth
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEBEL,KELLY', 'URIBE,TALIA', 'LEWIS,JADE')",01:43,00:30,-2,01:13,2nd Half,1.2166666666666668,-1.64,-41.0,Wentworth
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'URIBE,TALIA', 'LEWIS,JADE', 'GRAHAM,PIPER')",00:30,02:10,9,01:40,2nd Half,1.6666666666666665,5.4,135.0,Wentworth
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEBEL,KELLY', 'URIBE,TALIA', 'GRAHAM,PIPER')",02:10,09:14,2,07:04,2nd Half,7.066666666666666,0.28,7.0,Wentworth
"('GORSKI,JENNY', 'LEBEL,KELLY', 'URIBE,TALIA', 'LEWIS,JADE', 'GRAHAM,PIPER')",09:14,07:06,4,02:08,2nd Half,2.1333333333333333,1.88,47.0,Wentworth
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'LEBEL,KELLY', 'LEWIS,JADE', 'GRAHAM,PIPER')",07:06,06:39,0,00:27,2nd Half,0.45,0.0,0.0,Wentworth
"('JOHNSTON,RAHMIA', 'GORSKI,JENNY', 'BARRON,SHEA', 'LEWIS,JADE', 'GRAHAM,PIPER')",06:39,05:21,2,01:18,2nd Half,1.3,1.54,38.5,Wentworth
"('JOHNSTON,RAHMIA', 'ANDRADE,SOPHIA', 'BARRON,SHEA', 'LEWIS,JADE', 'GRAHAM,PIPER')",05:21,03:22,2,01:59,2nd Half,1.9833333333333334,1.01,25.25,Wentworth
"('JOHNSTON,RAHMIA', 'ANDRADE,SOPHIA', 'PACHECO,MIA', 'BARRON,SHEA', 'LEWIS,JADE')",03:22,01:33,-4,01:49,2nd Half,1.8166666666666667,-2.2,-55.0,Wentworth
"('JOHNSTON,RAHMIA', 'MILDNER,STEPHANIE', 'ANDRADE,SOPHIA', 'PACHECO,MIA', 'LEWIS,JADE')",01:33,01:33,0,00:00,2nd Half,0.0,,,Wentworth
"('JOHNSTON,RAHMIA', 'MILDNER,STEPHANIE', 'GUERRIER,PHONIA', 'PACHECO,MIA', 'LEWIS,JADE')",01:33,00:13,-4,01:20,2nd Half,1.3333333333333333,-3.0,-75.0,Wentworth
