Lineup,Plus/Minus,Total Time,Game
"('GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",-2,02:22,Wentworth
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",6,02:23,Wentworth
"('BARRON,SHEA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE')",1,02:37,Wentworth
"('BARRON,SHEA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY')",-4,01:10,Wentworth
"('BARRON,SHEA', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE', 'TURCO,MARY')",-3,01:22,Wentworth
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'LEWIS,JADE', 'TURCO,MARY')",3,01:39,Wentworth
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'LEWIS,JADE', 'URIBE,TALIA')",6,03:14,Wentworth
"('GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE', 'URIBE,TALIA')",-2,01:13,Wentworth
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA')",9,01:40,Wentworth
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'URIBE,TALIA')",2,07:04,Wentworth
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE')",0,00:27,Wentworth
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE')",2,01:59,Wentworth
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'PACHECO,MIA')",-4,01:49,Wentworth
"('ANDRADE,SOPHIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'PACHECO,MIA')",0,00:00,Wentworth
"('GUERRIER,PHONIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'PACHECO,MIA')",-4,01:20,Wentworth
