Lineup,Plus/Minus Per 25 Minutes,Plus/Minus Per Minute,Total Time,Game
"('GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA')",-21.25,-0.85,02:22,Wentworth
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",63.0,2.52,02:23,Wentworth
"('BARRON,SHEA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE')",19.5,0.78,02:37,Wentworth
"('BARRON,SHEA', 'GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY')",-85.75,-3.43,01:10,Wentworth
"('BARRON,SHEA', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE', 'TURCO,MARY')",-55.0,-2.2,01:22,Wentworth
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'LEWIS,JADE', 'TURCO,MARY')",45.5,1.82,01:39,Wentworth
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'LEWIS,JADE', 'URIBE,TALIA')",92.5,3.7,03:14,Wentworth
"('GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE', 'URIBE,TALIA')",-41.0,-1.64,01:13,Wentworth
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'URIBE,TALIA')",135.0,5.4,01:40,Wentworth
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'URIBE,TALIA')",7.0,0.28,07:04,Wentworth
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE')",0.0,0.0,00:27,Wentworth
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE')",25.25,1.01,01:59,Wentworth
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'PACHECO,MIA')",-55.0,-2.2,01:49,Wentworth
"('ANDRADE,SOPHIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'PACHECO,MIA')",,,00:00,Wentworth
"('GUERRIER,PHONIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'PACHECO,MIA')",-75.0,-3.0,01:20,Wentworth
