Lineup,Plus/Minus Per 25 Minutes,Plus/Minus Per Minute,Total Time,Game
"('LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",-21.25,-0.85,02:22,Wentworth
"('GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",63.0,2.52,02:23,Wentworth
"('GORSKI,JENNY', 'BARRON,SHEA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",-19.0,-0.76,01:19,Wentworth
"('GORSKI,JENNY', 'BARRON,SHEA', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",-85.75,-3.43,01:10,Wentworth
"('BARRON,SHEA', 'LEWIS,JADE', 'TURCO,MARY', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",-55.0,-2.2,01:22,Wentworth
"('GORSKI,JENNY', 'LEWIS,JADE', 'TURCO,MARY', 'GRAHAM,PIPER', 'LEBEL,KELLY')",45.5,1.82,01:39,Wentworth
"('GORSKI,JENNY', 'LEWIS,JADE', 'URIBE,TALIA', 'GRAHAM,PIPER', 'LEBEL,KELLY')",45.5,1.82,01:06,Wentworth
"('GORSKI,JENNY', 'LEWIS,JADE', 'URIBE,TALIA', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",-41.0,-1.64,01:13,Wentworth
"('GORSKI,JENNY', 'LEWIS,JADE', 'URIBE,TALIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",135.0,5.4,01:40,Wentworth
"('GORSKI,JENNY', 'URIBE,TALIA', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",7.0,0.28,07:04,Wentworth
"('GORSKI,JENNY', 'LEWIS,JADE', 'URIBE,TALIA', 'GRAHAM,PIPER', 'LEBEL,KELLY')",47.0,1.88,02:08,Wentworth
"('GORSKI,JENNY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'JOHNSTON,RAHMIA')",0.0,0.0,00:27,Wentworth
"('BARRON,SHEA', 'GORSKI,JENNY', 'LEWIS,JADE', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",38.5,1.54,01:18,Wentworth
"('BARRON,SHEA', 'ANDRADE,SOPHIA', 'LEWIS,JADE', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA')",25.25,1.01,01:59,Wentworth
"('BARRON,SHEA', 'ANDRADE,SOPHIA', 'LEWIS,JADE', 'PACHECO,MIA', 'JOHNSTON,RAHMIA')",-55.0,-2.2,01:49,Wentworth
"('ANDRADE,SOPHIA', 'MILDNER,STEPHANIE', 'LEWIS,JADE', 'PACHECO,MIA', 'JOHNSTON,RAHMIA')",,,00:00,Wentworth
"('MILDNER,STEPHANIE', 'LEWIS,JADE', 'GUERRIER,PHONIA', 'PACHECO,MIA', 'JOHNSTON,RAHMIA')",-75.0,-3.0,01:20,Wentworth
