Team,No.,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,OREB%,TOV%,EFG%,FTR,Game
Elms,1,"Smith, Heaven",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,,,,ALBERTUS_WBB
Elms,2,"Guerrier, Phonia",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,1,1,0.0,0.0,100.0,,,ALBERTUS_WBB
Elms,4,"Pacheco, Mia",2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0,0,0,0.0,1.0,0.0,1,0,1.0,0.0,53.19,,inf,ALBERTUS_WBB
Elms,10,"Turco, Mary",23.0,4.0,11.0,36.4,0.0,0.0,0.0,8.0,11.0,72.7,6,7,13,1.0,1.0,0.0,4,4,16.0,18.75,20.16,36.36,100.0,ALBERTUS_WBB
Elms,11,"Wasiewicz, Gabby",10.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,1,1,0.0,0.0,20.0,0.0,0.0,ALBERTUS_WBB
Elms,12,"Lewis, Jade",30.0,4.0,9.0,44.4,2.0,4.0,50.0,5.0,8.0,62.5,1,2,3,0.0,0.0,0.0,4,2,15.0,3.7,24.21,55.56,88.89,ALBERTUS_WBB
Elms,13,"Uribe, Talia",25.0,3.0,6.0,50.0,0.0,1.0,0.0,2.0,2.0,100.0,1,3,4,0.0,2.0,0.0,1,4,8.0,3.7,12.69,50.0,33.33,ALBERTUS_WBB
Elms,14,"Gorski, Jenny",22.0,4.0,6.0,66.7,0.0,0.0,0.0,1.0,2.0,50.0,3,5,8,3.0,1.0,0.0,0,1,9.0,10.34,0.0,66.67,33.33,ALBERTUS_WBB
Elms,15,"Barron, Shea",16.0,2.0,4.0,50.0,2.0,3.0,66.7,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,1,1,6.0,0.0,20.0,75.0,0.0,ALBERTUS_WBB
Elms,20,"LeBel, Kelly",6.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1,0,0.0,0.0,33.33,0.0,0.0,ALBERTUS_WBB
Elms,22,"Johnston, Rahmia",33.0,5.0,10.0,50.0,0.0,3.0,0.0,4.0,4.0,100.0,1,8,9,6.0,1.0,0.0,5,3,14.0,3.7,29.83,50.0,40.0,ALBERTUS_WBB
Elms,23,"Graham, Piper",23.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,1,0,0.0,0.0,12.5,0.0,0.0,ALBERTUS_WBB
Elms,24,"Andrade, Sophia",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,2,1,0.0,3.7,100.0,,,ALBERTUS_WBB
Elms,44,"Mildner, Stephanie",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1.0,0.0,0.0,0,0,0.0,0.0,,,,ALBERTUS_WBB
Elms,TM,TEAM,,0.0,0.0,,0.0,,,,0.0,,2,1,3,,,,0,0,,7.14,,,,ALBERTUS_WBB
