Team,Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS
Gordon,Abby Chewning,7.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,,0,1,1,0.0,1.0,0.0,0,3,0.0
Dean College,Abi Boutin,38.0,5.0,11.0,45.45,0.0,3.0,0.0,5.0,12.0,41.67,3,1,4,5.0,4.0,0.0,4,2,15.0
Westfield St.,Alex Jackson,6.0,1.0,3.0,33.33,0.0,2.0,0.0,0.0,3.0,0.0,2,2,4,0.0,2.0,0.0,0,1,2.0
Dean College,Alexandria Paquet,33.0,2.0,7.0,28.57,1.0,4.0,25.0,4.0,6.0,66.67,0,7,7,3.0,1.0,2.0,4,2,9.0
Fitchburg St.,Alexis DeSimone,22.0,2.0,12.0,16.67,0.0,4.0,0.0,2.0,4.0,50.0,3,2,5,1.0,1.0,0.0,3,3,6.0
Westfield St.,Alexus Sanchez,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0,1,1,0.0,0.0,0.0,0,0,0.0
Fitchburg St.,Aliza Som,26.0,1.0,6.0,16.67,1.0,5.0,20.0,0.0,0.0,,0,2,2,2.0,1.0,0.0,3,5,3.0
Fitchburg St.,Allison Prentis,6.0,2.0,3.0,66.67,1.0,2.0,50.0,0.0,0.0,,0,0,0,0.0,0.0,0.0,1,2,5.0
WPI,"Allyn,Emmy",32.0,4.0,14.0,28.57,3.0,9.0,33.33,0.0,0.0,,1,0,1,3.0,5.0,0.0,2,2,11.0
Gordon,Ami Rivera,23.0,8.0,12.0,66.67,2.0,4.0,50.0,1.0,1.0,100.0,0,1,1,4.0,3.0,0.0,1,0,19.0
Westfield St.,Anaya Tolton,4.0,2.0,2.0,100.0,0.0,0.0,,0.0,1.0,0.0,0,2,2,0.0,0.0,0.0,0,1,4.0
Elms,"Andrade, Sophia",9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,1,1,2,0.0,0.0,0.0,3,2,0.0
Elms,"Andrade,Sophia",153.0,6.0,27.0,22.22,5.0,18.0,27.78,1.0,4.0,25.0,4,21,25,5.0,6.0,0.0,12,19,18.0
Nazareth,"Anglin,Kiara",21.0,3.0,3.0,100.0,0.0,0.0,,2.0,3.0,66.67,2,4,6,5.0,3.0,0.0,0,2,8.0
Amherst,Anna Tranum,24.0,5.0,9.0,55.56,2.0,4.0,50.0,0.0,0.0,,1,0,1,0.0,2.0,0.0,2,4,12.0
Amherst,Annie McCarthy,32.0,2.0,12.0,16.67,2.0,8.0,25.0,0.0,0.0,,1,4,5,2.0,2.0,0.0,2,1,6.0
Emerson,"Arnold,Elise",24.0,4.0,8.0,50.0,2.0,2.0,100.0,0.0,0.0,,3,5,8,0.0,1.0,0.0,4,2,10.0
Emerson,"Arnold,Taylor",14.0,1.0,3.0,33.33,0.0,0.0,,0.0,0.0,,1,1,2,4.0,1.0,0.0,1,4,2.0
Elms,"Asfaw, Soliyana",0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0,0,0.0,0.0,0.0,0,0,0.0
