Lineup,Plus/Minus,Total Time,Game
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'WASIEWICZ,GABBY')",19,03:02,Dean
"('GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE', 'TURCO,MARY')",15,23:19,"Dean, Emerson, MITCHELL_WBB, NAZARETH, ST_JOSEPH_S(ME)_WBB, Salem State, WPI, Wellesley"
"('GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEBEL,KELLY', 'LEWIS,JADE', 'WASIEWICZ,GABBY')",9,02:29,"EMMANUEL_WBB, Emmanuel, ST_JOSEPH_S(ME)_WBB"
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",8,41:43,"ANNA_MARIA_WBB, COLBY_SAWYER_WBB, EMMANUEL_WBB, Emmanuel, LASELL_WBB, LASELL_WBB2, MITCHELL_WBB, REGIS_WBB, ST_JOSEPH_S(ME)_WBB, Salem State, WBB NORWICH AT ELMS 2024-25, Wentworth"
"('GORSKI,JENNY', 'GUERRIER,PHONIA', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'TURCO,MARY')",8,03:56,Gordon
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'SMITH,HEAVEN', 'TURCO,MARY', 'URIBE,TALIA')",8,03:02,VSU Lyndon
"('BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'TURCO,MARY', 'URIBE,TALIA')",7,16:31,"ALBERTUS_WBB, ANNA_MARIA_WBB, COLBY_SAWYER_WBB, JWU_PROVIDENCE_WBB, LASELL_WBB, MITCHELL_WBB, USJ CT"
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'LEWIS,JADE', 'TURCO,MARY')",7,04:54,"NAZARETH, WPI, Wentworth"
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE')",7,10:40,"COLBY_SAWYER_WBB, JWU_PROVIDENCE_WBB, WPI, Wentworth"
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'LEWIS,JADE', 'SMITH,HEAVEN')",6,06:42,VSU Lyndon
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GORSKI,JENNY', 'JOHNSTON,RAHMIA', 'LEWIS,JADE')",6,06:34,"ANNA_MARIA_WBB, JWU_PROVIDENCE_WBB2, LASELL_WBB2, NEC_WBB"
"('JOHNSTON,RAHMIA', 'LEWIS,JADE', 'MILDNER,STEPHANIE', 'TURCO,MARY', 'WASIEWICZ,GABBY')",6,03:56,"EMMANUEL_WBB, Emmanuel"
"('ANDRADE,SOPHIA', 'BARRON,SHEA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'URIBE,TALIA')",5,09:03,WPI
"('ANDRADE,SOPHIA', 'GRAHAM,PIPER', 'JOHNSTON,RAHMIA', 'TURCO,MARY', 'URIBE,TALIA')",5,14:47,"EMMANUEL_WBB, Emmanuel, JWU_PROVIDENCE_WBB2"
"('BARRON,SHEA', 'GORSKI,JENNY', 'LEBEL,KELLY', 'LEWIS,JADE', 'URIBE,TALIA')",5,01:07,Fitchburg State
"('GORSKI,JENNY', 'GRAHAM,PIPER', 'LEBEL,KELLY', 'LEWIS,JADE', 'URIBE,TALIA')",5,03:53,"NAZARETH, Wentworth"
"('GRAHAM,PIPER', 'LEWIS,JADE', 'TURCO,MARY', 'URIBE,TALIA', 'WASIEWICZ,GABBY')",5,11:47,"MITCHELL_WBB, ST_JOSEPH_S(ME)_WBB, WBB NORWICH AT ELMS 2024-25"
