Player,Plus/Minus,Game
"LEWIS,JADE",-30,ALBERTUS_WBB
"TURCO,MARY",-4,ALBERTUS_WBB
"URIBE,TALIA",-21,ALBERTUS_WBB
"GRAHAM,PIPER",-5,ALBERTUS_WBB
"JOHNSTON,RAHMIA",-20,ALBERTUS_WBB
"GORSKI,JENNY",-2,ALBERTUS_WBB
"BARRON,SHEA",8,ALBERTUS_WBB
"WASIEWICZ,GABBY",-5,ALBERTUS_WBB
"LEBEL,KELLY",-16,ALBERTUS_WBB
"ANDRADE,SOPHIA",-10,ALBERTUS_WBB
"PACHECO,MIA",1,ALBERTUS_WBB
"MILDNER,STEPHANIE",1,ALBERTUS_WBB
"SMITH,HEAVEN",-1,ALBERTUS_WBB
"GUERRIER,PHONIA",-1,ALBERTUS_WBB
"BARRON,SHEA",-32,AMHERST_WBB
"LEWIS,JADE",-23,AMHERST_WBB
"TURCO,MARY",-19,AMHERST_WBB
"URIBE,TALIA",-25,AMHERST_WBB
"JOHNSTON,RAHMIA",-35,AMHERST_WBB
"LEBEL,KELLY",-15,AMHERST_WBB
"GORSKI,JENNY",-16,AMHERST_WBB
"GRAHAM,PIPER",-11,AMHERST_WBB
"PACHECO,MIA",1,AMHERST_WBB
"MILDNER,STEPHANIE",-16,AMHERST_WBB
"LEWIS,JADE",-12,ANNA_MARIA_WBB
"TURCO,MARY",-12,ANNA_MARIA_WBB
"URIBE,TALIA",-14,ANNA_MARIA_WBB
"GRAHAM,PIPER",-19,ANNA_MARIA_WBB
"JOHNSTON,RAHMIA",-13,ANNA_MARIA_WBB
"BARRON,SHEA",-13,ANNA_MARIA_WBB
"GORSKI,JENNY",-9,ANNA_MARIA_WBB
"ANDRADE,SOPHIA",3,ANNA_MARIA_WBB
"WASIEWICZ,GABBY",-6,ANNA_MARIA_WBB
"LEWIS,JADE",13,COLBY_SAWYER_WBB
"TURCO,MARY",10,COLBY_SAWYER_WBB
"URIBE,TALIA",8,COLBY_SAWYER_WBB
"GRAHAM,PIPER",4,COLBY_SAWYER_WBB
"JOHNSTON,RAHMIA",5,COLBY_SAWYER_WBB
"GORSKI,JENNY",4,COLBY_SAWYER_WBB
"BARRON,SHEA",-3,COLBY_SAWYER_WBB
"WASIEWICZ,GABBY",-1,COLBY_SAWYER_WBB
"LEBEL,KELLY",-1,COLBY_SAWYER_WBB
"ANDRADE,SOPHIA",1,COLBY_SAWYER_WBB
"LEWIS,JADE",28,Dean
"TURCO,MARY",17,Dean
"URIBE,TALIA",8,Dean
"LEBEL,KELLY",18,Dean
"JOHNSTON,RAHMIA",26,Dean
"GORSKI,JENNY",10,Dean
"BARRON,SHEA",21,Dean
"ANDRADE,SOPHIA",12,Dean
"WASIEWICZ,GABBY",1,Dean
"GRAHAM,PIPER",10,Dean
"PACHECO,MIA",-7,Dean
"MILDNER,STEPHANIE",-8,Dean
"GUERRIER,PHONIA",-8,Dean
"SMITH,HEAVEN",-3,Dean
"LEWIS,JADE",7,Emerson
"TURCO,MARY",-6,Emerson
"URIBE,TALIA",-13,Emerson
"GRAHAM,PIPER",-18,Emerson
"JOHNSTON,RAHMIA",-10,Emerson
"GORSKI,JENNY",-2,Emerson
"BARRON,SHEA",-8,Emerson
"LEBEL,KELLY",3,Emerson
"ANDRADE,SOPHIA",3,Emerson
"LEWIS,JADE",-24,Emmanuel
"TURCO,MARY",4,Emmanuel
"URIBE,TALIA",-16,Emmanuel
"GRAHAM,PIPER",-12,Emmanuel
"JOHNSTON,RAHMIA",-17,Emmanuel
"GORSKI,JENNY",-14,Emmanuel
"WASIEWICZ,GABBY",-18,Emmanuel
"BARRON,SHEA",-18,Emmanuel
"ANDRADE,SOPHIA",-21,Emmanuel
"LEBEL,KELLY",-3,Emmanuel
"MILDNER,STEPHANIE",4,Emmanuel
"SMITH,HEAVEN",0,Emmanuel
"GUERRIER,PHONIA",0,Emmanuel
"LEWIS,JADE",-24,EMMANUEL_WBB
"TURCO,MARY",4,EMMANUEL_WBB
"URIBE,TALIA",-16,EMMANUEL_WBB
"GRAHAM,PIPER",-12,EMMANUEL_WBB
"JOHNSTON,RAHMIA",-17,EMMANUEL_WBB
"GORSKI,JENNY",-14,EMMANUEL_WBB
"WASIEWICZ,GABBY",-18,EMMANUEL_WBB
"BARRON,SHEA",-18,EMMANUEL_WBB
"ANDRADE,SOPHIA",-21,EMMANUEL_WBB
"LEBEL,KELLY",-3,EMMANUEL_WBB
"MILDNER,STEPHANIE",4,EMMANUEL_WBB
"SMITH,HEAVEN",0,EMMANUEL_WBB
"GUERRIER,PHONIA",0,EMMANUEL_WBB
"LEWIS,JADE",4,Fitchburg State
"TURCO,MARY",-1,Fitchburg State
"URIBE,TALIA",7,Fitchburg State
"GRAHAM,PIPER",-1,Fitchburg State
"JOHNSTON,RAHMIA",-2,Fitchburg State
"GORSKI,JENNY",8,Fitchburg State
"LEBEL,KELLY",1,Fitchburg State
"BARRON,SHEA",8,Fitchburg State
"MILDNER,STEPHANIE",-6,Fitchburg State
"ANDRADE,SOPHIA",3,Fitchburg State
"GORSKI,JENNY",-7,Gordon
"LEWIS,JADE",7,Gordon
"TURCO,MARY",8,Gordon
"GUERRIER,PHONIA",-30,Gordon
"JOHNSTON,RAHMIA",-15,Gordon
"LEBEL,KELLY",-35,Gordon
"BARRON,SHEA",-17,Gordon
"GRAHAM,PIPER",-20,Gordon
"ANDRADE,SOPHIA",-38,Gordon
"PACHECO,MIA",-22,Gordon
"MILDNER,STEPHANIE",-3,Gordon
"LEWIS,JADE",-9,JWU_PROVIDENCE_WBB
"TURCO,MARY",-17,JWU_PROVIDENCE_WBB
"URIBE,TALIA",-26,JWU_PROVIDENCE_WBB
"GRAHAM,PIPER",-11,JWU_PROVIDENCE_WBB
"JOHNSTON,RAHMIA",9,JWU_PROVIDENCE_WBB
"GORSKI,JENNY",0,JWU_PROVIDENCE_WBB
"BARRON,SHEA",-2,JWU_PROVIDENCE_WBB
"ANDRADE,SOPHIA",-6,JWU_PROVIDENCE_WBB
"LEBEL,KELLY",4,JWU_PROVIDENCE_WBB
"SMITH,HEAVEN",-4,JWU_PROVIDENCE_WBB
"GUERRIER,PHONIA",-4,JWU_PROVIDENCE_WBB
"PACHECO,MIA",-4,JWU_PROVIDENCE_WBB
"MILDNER,STEPHANIE",-4,JWU_PROVIDENCE_WBB
"LEWIS,JADE",-18,JWU_PROVIDENCE_WBB2
"TURCO,MARY",-29,JWU_PROVIDENCE_WBB2
"URIBE,TALIA",-25,JWU_PROVIDENCE_WBB2
"GRAHAM,PIPER",-17,JWU_PROVIDENCE_WBB2
"JOHNSTON,RAHMIA",-13,JWU_PROVIDENCE_WBB2
"BARRON,SHEA",-30,JWU_PROVIDENCE_WBB2
"GORSKI,JENNY",-11,JWU_PROVIDENCE_WBB2
"WASIEWICZ,GABBY",-11,JWU_PROVIDENCE_WBB2
"ANDRADE,SOPHIA",-12,JWU_PROVIDENCE_WBB2
"LEBEL,KELLY",-1,JWU_PROVIDENCE_WBB2
"GUERRIER,PHONIA",-1,JWU_PROVIDENCE_WBB2
"PACHECO,MIA",-1,JWU_PROVIDENCE_WBB2
"MILDNER,STEPHANIE",-1,JWU_PROVIDENCE_WBB2
"SMITH,HEAVEN",-1,JWU_PROVIDENCE_WBB2
"LEWIS,JADE",7,LASELL_WBB
"TURCO,MARY",-3,LASELL_WBB
"URIBE,TALIA",15,LASELL_WBB
