Player,OREB%,TOV%,EFG%,FTR,Game
"Turco,Mary",4.76,29.07,62.5,50.0,COLBY_SAWYER_WBB
"Wasiewicz,Gabby",0.0,11.11,50.0,0.0,COLBY_SAWYER_WBB
"Lewis,Jade",4.76,47.17,57.14,100.0,COLBY_SAWYER_WBB
"Uribe,Talia",0.0,0.0,66.67,300.0,COLBY_SAWYER_WBB
"Gorski,Jenny",9.09,34.25,50.0,100.0,COLBY_SAWYER_WBB
"Barron,Shea",4.76,20.0,37.5,0.0,COLBY_SAWYER_WBB
"LeBel,Kelly",0.0,0.0,0.0,0.0,COLBY_SAWYER_WBB
"Johnston,Rahmia",13.04,31.97,37.5,75.0,COLBY_SAWYER_WBB
"Graham,Piper",0.0,27.88,25.0,66.67,COLBY_SAWYER_WBB
"Andrade,Sophia",0.0,0.0,0.0,0.0,COLBY_SAWYER_WBB
