Player 1,Player 2,Plus/Minus,Game
"GRAHAM,PIPER","JOHNSTON,RAHMIA",-23,WPI
"GRAHAM,PIPER","LEWIS,JADE",-20,WPI
"GRAHAM,PIPER","TURCO,MARY",-19,WPI
"GRAHAM,PIPER","URIBE,TALIA",-16,WPI
"JOHNSTON,RAHMIA","LEWIS,JADE",-19,WPI
"JOHNSTON,RAHMIA","TURCO,MARY",-20,WPI
"JOHNSTON,RAHMIA","URIBE,TALIA",-17,WPI
"LEWIS,JADE","TURCO,MARY",-20,WPI
"LEWIS,JADE","URIBE,TALIA",-14,WPI
"TURCO,MARY","URIBE,TALIA",-16,WPI
"GORSKI,JENNY","JOHNSTON,RAHMIA",-8,WPI
"GORSKI,JENNY","LEBEL,KELLY",-4,WPI
"GORSKI,JENNY","LEWIS,JADE",0,WPI
"GORSKI,JENNY","TURCO,MARY",-2,WPI
"JOHNSTON,RAHMIA","LEBEL,KELLY",-7,WPI
"LEBEL,KELLY","LEWIS,JADE",1,WPI
"LEBEL,KELLY","TURCO,MARY",-1,WPI
"GORSKI,JENNY","URIBE,TALIA",-10,WPI
"LEBEL,KELLY","URIBE,TALIA",-6,WPI
"GORSKI,JENNY","GRAHAM,PIPER",-8,WPI
"GRAHAM,PIPER","LEBEL,KELLY",-11,WPI
"BARRON,SHEA","GRAHAM,PIPER",1,WPI
"BARRON,SHEA","JOHNSTON,RAHMIA",2,WPI
"BARRON,SHEA","LEWIS,JADE",-3,WPI
"BARRON,SHEA","TURCO,MARY",-2,WPI
"BARRON,SHEA","URIBE,TALIA",6,WPI
"BARRON,SHEA","GORSKI,JENNY",0,WPI
"ANDRADE,SOPHIA","GRAHAM,PIPER",4,WPI
"ANDRADE,SOPHIA","JOHNSTON,RAHMIA",4,WPI
"ANDRADE,SOPHIA","LEBEL,KELLY",0,WPI
"ANDRADE,SOPHIA","LEWIS,JADE",-1,WPI
"ANDRADE,SOPHIA","URIBE,TALIA",5,WPI
"ANDRADE,SOPHIA","BARRON,SHEA",4,WPI
"BARRON,SHEA","LEBEL,KELLY",0,WPI
