Player 1,Player 2,Plus/Minus,Game
"GRAHAM,PIPER","JOHNSTON,RAHMIA",-1,NEC_WBB
"GRAHAM,PIPER","LEWIS,JADE",1,NEC_WBB
"GRAHAM,PIPER","TURCO,MARY",15,NEC_WBB
"GRAHAM,PIPER","URIBE,TALIA",2,NEC_WBB
"JOHNSTON,RAHMIA","LEWIS,JADE",-14,NEC_WBB
"JOHNSTON,RAHMIA","TURCO,MARY",4,NEC_WBB
"JOHNSTON,RAHMIA","URIBE,TALIA",-3,NEC_WBB
"LEWIS,JADE","TURCO,MARY",6,NEC_WBB
"LEWIS,JADE","URIBE,TALIA",-3,NEC_WBB
"TURCO,MARY","URIBE,TALIA",7,NEC_WBB
"GORSKI,JENNY","GRAHAM,PIPER",-11,NEC_WBB
"GORSKI,JENNY","JOHNSTON,RAHMIA",-19,NEC_WBB
"GORSKI,JENNY","LEWIS,JADE",-18,NEC_WBB
"GORSKI,JENNY","URIBE,TALIA",-10,NEC_WBB
"BARRON,SHEA","GORSKI,JENNY",-1,NEC_WBB
"BARRON,SHEA","JOHNSTON,RAHMIA",0,NEC_WBB
"BARRON,SHEA","LEWIS,JADE",2,NEC_WBB
"BARRON,SHEA","URIBE,TALIA",0,NEC_WBB
"ANDRADE,SOPHIA","BARRON,SHEA",0,NEC_WBB
"ANDRADE,SOPHIA","GORSKI,JENNY",-2,NEC_WBB
"ANDRADE,SOPHIA","JOHNSTON,RAHMIA",-3,NEC_WBB
"ANDRADE,SOPHIA","LEWIS,JADE",-3,NEC_WBB
"ANDRADE,SOPHIA","TURCO,MARY",-1,NEC_WBB
"ANDRADE,SOPHIA","WASIEWICZ,GABBY",-3,NEC_WBB
"JOHNSTON,RAHMIA","WASIEWICZ,GABBY",-14,NEC_WBB
"LEWIS,JADE","WASIEWICZ,GABBY",-13,NEC_WBB
"TURCO,MARY","WASIEWICZ,GABBY",-4,NEC_WBB
"GRAHAM,PIPER","WASIEWICZ,GABBY",1,NEC_WBB
"BARRON,SHEA","GRAHAM,PIPER",3,NEC_WBB
"BARRON,SHEA","TURCO,MARY",6,NEC_WBB
"BARRON,SHEA","WASIEWICZ,GABBY",4,NEC_WBB
"GORSKI,JENNY","TURCO,MARY",-5,NEC_WBB
"GORSKI,JENNY","WASIEWICZ,GABBY",-10,NEC_WBB
"BARRON,SHEA","MILDNER,STEPHANIE",-2,NEC_WBB
"GRAHAM,PIPER","MILDNER,STEPHANIE",-2,NEC_WBB
"JOHNSTON,RAHMIA","MILDNER,STEPHANIE",-2,NEC_WBB
"LEWIS,JADE","MILDNER,STEPHANIE",-2,NEC_WBB
"URIBE,TALIA","WASIEWICZ,GABBY",-5,NEC_WBB
