Player,OREB%,TOV%,EFG%,FTR,Game
"Turco,Mary",9.09,25.0,50.0,0.0,JWU_PROVIDENCE_WBB2
"Wasiewicz,Gabby",0.0,31.65,50.0,100.0,JWU_PROVIDENCE_WBB2
"Lewis,Jade",4.76,17.01,16.67,50.0,JWU_PROVIDENCE_WBB2
"Uribe,Talia",2.44,8.42,10.0,20.0,JWU_PROVIDENCE_WBB2
"Gorski,Jenny",11.11,14.29,16.67,0.0,JWU_PROVIDENCE_WBB2
"Barron,Shea",2.44,12.02,50.0,50.0,JWU_PROVIDENCE_WBB2
"LeBel,Kelly",0.0,0.0,0.0,0.0,JWU_PROVIDENCE_WBB2
"Johnston,Rahmia",0.0,26.79,16.67,83.33,JWU_PROVIDENCE_WBB2
"Graham,Piper",0.0,20.0,37.5,0.0,JWU_PROVIDENCE_WBB2
"Andrade,Sophia",0.0,25.0,50.0,0.0,JWU_PROVIDENCE_WBB2
