Player,OREB%,TOV%,EFG%,FTR,Game
Mary Turco,15.15,32.35,91.67,50.0,Fitchburg State
Jade Lewis,12.5,16.92,58.82,35.29,Fitchburg State
Talia Uribe,9.68,39.56,0.0,120.0,Fitchburg State
Jenny Gorski,3.45,16.67,60.0,0.0,Fitchburg State
Shea Barron,0.0,0.0,100.0,400.0,Fitchburg State
Kelly LeBel,0.0,12.02,16.67,50.0,Fitchburg State
Rahmia Johnston,6.67,10.37,16.67,100.0,Fitchburg State
Piper Graham,0.0,0.0,0.0,50.0,Fitchburg State
Sophia Andrade,0.0,0.0,0.0,0.0,Fitchburg State
Ta'Niyah Scott,0.0,0.0,0.0,0.0,Fitchburg State
Autumn Koch,0.0,0.0,50.0,0.0,Fitchburg State
